Accession,HT.ORL,CIRC.ORL,BF.ORL,BS.ORL,BS.SAV,CIRC.SAV,BF.SAV,RUST.ORL
KUH-55,336.6361885,8.451985792,2.166666667,1.083333332,1.083333333,High,Low,Green
KUH-56,226.5324597,6.530797111,2.824705242,0.750574428,0.761165076,High,Very low,White
KUH-7,262.1894875,6.510703268,3.666666667,0.416666665,0.5,Medium,Medium,White
KUH-8,282.5005173,7.280361132,3,0.749999998,1.083333333,Medium,Low,Green
KUH-9,257.1858001,7.328079294,1.954949564,0.706359984,0.666666667,High,Very low,Green
92501,264.2747361,6.283165095,2.5,1.666666665,2.36698411,Very low,Low,Green
92509-2,266.7362967,6.765376284,2.833333333,0.999999998,1.127300436,Low,Low,White
92510-3,259.8213068,6.81594897,3.166666667,1.416666665,2.25,High,Medium,White
92510-24,350.3761509,7.822106769,3.58984312,0.872048233,1.083333333,Medium,Medium,White
92511-3,285.9130394,7.103337745,2.333333333,1.083333332,1,Medium,Low,White
92519-1,310.1297241,7.913237959,4,1.499999998,1.833333333,High,Medium,White
92519-8,225.0803743,6.439624384,3.799503474,0.747163678,1.096103808,Medium,Medium,White
92502,292.0377939,6.866763833,4,1.499999998,2.583333333,Medium,High,Green
92520-1,226.2076281,6.113418722,1.5,1.249999998,1.396103808,Low,Very low,Green
92520-6,307.933613,7.086788947,1.833333333,0.833333332,1.895599283,Medium,Low,Green
92520-7,251.2666258,6.728086704,2.824705242,1.250574428,1.227300436,Medium,Medium,Blue
92522-2,293.4048517,6.246984891,2.333333333,1.416666665,2.397186724,Medium,Very low,Green
92524-1,308.7429597,7.150133705,3.666666667,1.499999998,1.75,Medium,High,White
92524-2,251.8978983,6.284332212,2,1.416666665,1,Medium,Very low,Green
92524-3,189.1769304,5.443876416,1.5,1.249999998,1.75,Low,Very low,Green
92503,307.6339021,7.238491635,3.354949564,1.506359984,1.397186724,Medium,Medium,Green
92525-57,249.88471,6.574868295,2.5,1.083333332,1.166666667,Low,Very low,Green
92504-2,296.583136,7.100578294,2.024705242,1.550574428,2.096103808,Medium,Very low,Blue
92505-1,252.0613227,5.794212444,2.024705242,1.050574428,1.083333333,Medium,Low,White
92508,287.9813466,8.372662231,4.333333333,1.083333332,1.833333333,Very high,Medium,White
99582-1,273.9992682,6.463870534,3,1.833333332,2.666666667,Medium,Low,White
99582-2,336.7205075,7.615837816,4.166666667,1.806359984,1.297186724,Medium,Low,White
99583,263.5363936,7.322274526,2.333333333,1.499999998,1.427300436,Low,Low,White
99585,180.4216769,5.797653904,4.333333333,0.916666665,0.88917899,Medium,Medium,White
99587,249.2232713,6.898187854,4.166666667,1.249999998,1.5,High,High,White
99588,283.6636045,6.842327886,2.333333333,1.416666665,1.75,Low,Low,White
AFO-673,290.6474855,7.215863423,3.636367061,1.944981425,2.861865367,Medium,Low,White
99576,220.3888115,5.401025331,3.148107598,0.90593905,2.027300436,High,Medium,White
